CNESource,Codigo,Nombre,Categoria,Tecnologia,Estado,FechaInst,FechaSusp,Altitud,LatDD,LongDD,Depto,Municipio,AreaOperat,Entidad,AH,ZH,SZH,Corriente,Observ,Subred
CNE_OE,35061001,GLORIA LA  - AUT  [35061001],Limnigráfica,Automática con Telemetría,Activa,,,1860,"4.8158333329999996","-73.419722219999997",Cundinamarca,Ubalá,Area Operativa 11 - Cundinamarca-Amazonas,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Guavio,,,
CNE_OE,35065030,PARQUE CARPANTA  [35065030],Meteorológica Especial,Convencional,Activa,15/10/1991,,2500,"4.8","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,ESTACIONES PARTICULARES,Orinoco,Meta,Río Guavio,,,
CNE_OE,35067060,POTRERITOS  [35067060],Limnimétrica,Convencional,Activa,15/09/1970,,2484,"4.8333333329999997","-73.766666670000006",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Juiquin,,
CNE_OE,35067070,PALMAR EL  [35067070],Limnimétrica,Convencional,Activa,15/09/1970,,2256,"4.766666667","-73.716666669999995",Bogotá,"Bogotá, D.C",Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Chorreras,,
CNE_OE,35067080,PTE CORDOBA  [35067080],Limnimétrica,Convencional,Activa,15/09/1970,,2450,"4.6833333330000002","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Sta Barbara,,
CNE_OE,35067110,SUEVA  [35067110],Limnimétrica,Convencional,Activa,15/08/1970,,2200,"4.8","-73.75",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Balcones,,
CNE_OE,35067160,COTA 3020  [35067160],Limnimétrica,Convencional,Activa,15/04/1987,,3020,"4.7833333329999999","-73.783333330000005",Cundinamarca,Gachetá,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Tunjo,,
CNE_OE,35067170,CANTABRIA  [35067170],Limnimétrica,Convencional,Activa,15/04/1987,,2900,"4.766666667","-73.783333330000005",Cundinamarca,Gachetá,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Barandillas,,
CNE_OE,35067180,HIERBA FRESCA  [35067180],Limnimétrica,Convencional,Activa,15/04/1987,,2900,"4.766666667","-73.766666670000006",Cundinamarca,Gachetá,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Balcones,,
CNE_OE,35067190,ARENAL EL  [35067190],Limnimétrica,Convencional,Activa,15/04/1987,,2640,"4.6833333330000002","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA QUINAL,,
CNE_OE,35067200,RESERVA LA  [35067200],Limnimétrica,Convencional,Suspendida,15/04/1987,15/09/1991,2760,"4.6666666670000003","-73.7",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067210,LA ALAMBRA [35067210],Limnimétrica,Convencional,Activa,15/11/1989,,2750,"4.6833333330000002","-73.7",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067220,CANALETA LETICIA  [35067220],Limnimétrica,Convencional,Activa,15/11/1987,,3000,"4.8","-73.75",Cundinamarca,Gachetá,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Canal Leticia,,
CNE_OE,35067230,BRAZO IZQUIERDO  [35067230],Limnimétrica,Convencional,Activa,15/04/1987,,3000,"4.7","-73.766666670000006",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Chorreras,,
